num_topics,alpha,eta,coherence_c_v,coherence_u_mass,coherence_npmi,topic_diversity,jaccard_similarity
30,0.01,0.01,0.3296939856048171,-2.9862857841078205,-0.35436818499189154,0.5833333333333334,0.03033324239153213
30,0.01,0.1,0.3624602520215817,-7.539140535325592,-0.37502101906451024,0.8266666666666667,0.010302519878691544
30,0.01,0.5,0.3301128797874869,-12.383889120994244,-0.25932347721484295,1.0,0.0
30,0.01,auto,0.3596401605727583,-3.2955202538439563,-0.3520543227571607,0.56,0.03165308470635683
30,0.1,symmetric,0.33433400882749953,-3.5059420442767064,-0.3646484070271615,0.6133333333333333,0.025849020794040542
30,0.1,0.01,0.33835859608602925,-3.3173284550418027,-0.36029363787805935,0.5966666666666667,0.027104017650617415
30,0.1,0.1,0.40882391694908526,-8.028724534964852,-0.37863367256626496,0.85,0.008546750016804463
30,0.1,0.5,0.3354652385656263,-12.263822175026679,-0.2627675500411594,0.9933333333333333,0.00024198427102238354
30,0.1,auto,0.33433400882749953,-3.5059420442767064,-0.3646484070271615,0.6133333333333333,0.025849020794040542
30,0.5,symmetric,0.40487488767801794,-5.014009981830695,-0.36646466683295426,0.7633333333333333,0.013832445662273781
30,0.5,0.01,0.40387429724840435,-4.514556787179176,-0.3636629640999202,0.77,0.012518336634916116
30,0.5,0.1,0.4506831204142563,-8.755596678812205,-0.38248328908281326,0.87,0.006530214424951267
30,0.5,0.5,0.36200119789452306,-11.432147591562504,-0.26393090656050366,0.99,0.0004839685420447671
30,0.5,auto,0.40487488767801794,-5.014009981830695,-0.36646466683295426,0.7633333333333333,0.013832445662273781
30,auto,symmetric,0.35187632634162086,-3.0669146814089125,-0.35589894047472426,0.57,0.03207121929231463
30,auto,0.01,0.333664893830962,-3.0653110065767706,-0.35748105873811087,0.59,0.028031030924166398
30,auto,0.1,0.388560582780998,-7.9822763084263135,-0.3777452383592352,0.83,0.009829622512445187
30,auto,0.5,0.32934989823809885,-12.367045280322099,-0.257608597309251,0.9966666666666667,0.00012099213551119177
30,auto,auto,0.35187632634162086,-3.0669146814089125,-0.35589894047472426,0.57,0.03207121929231463
